question,class
ใครเป็นผู้ออกตราสารหนี้ภาคเอกชน ไร้ใบตราสาร,1
Penny Stock หุ้นเหรียญ มีลักษณะอย่างไร,1
ราคาต้นงวดคืออะไร,1
อัตราการใช้สิทธิของ NVDR คือเท่าไหร่,1
หนังสือชี้ชวนส่วนสรุปข้อมูลสำคัญ (Fund Fact Sheet) คืออะไร,1
ข้อสัญญา (Covenants) คืออะไร,1
XT คืออะไร,1
Equity-Linked Product  คืออะไร,1
หลักเกณฑ์การขึ้นเครื่องหมาย  SP มีอะไรบ้าง,1
รายละเอียด เสนอขายกองทุนครั้งแรก (Initial Public Offering: IPO) มีอะไรบ้าง,1
ลักษณะสำคัญของกองทุนรวมสินค้าโภคภัณฑ์ในไทย มีอะไรบ้าง,1
ผู้ออกตั๋วเงินคลัง คือผู้ใด,1
รูปแบบของกระแสเงินสด มีกี่รูปแบบ,1
ประโยชน์ของกองทุนรวมต่อด้านตลาดการเงิน คืออะไร,1
สำนักหักบัญชี ทำหน้าที่อะไร,1
หนังสือชี้ชวนส่วนข้อมูลโครงการ คืออะไร,1
Feeder Fund คืออะไร,1
อายุของตราสาร ของ Warrant (ไทย) คือเท่าไหร่,1
SETSMART on Internet มีอะไรบ้าง,1
หลักการสำคัญในการคำนวณราคาเปิดและราคาปิด คืออะไร,1
สมมติฐานการนำดอกเบี้ยรับไปลงทุนต่อ คืออะไร,1
SETSMART on Extranet มีอะไรบ้าง,1
บริหารแบบเชิงรุกมีความเชื่ออย่างไร,1
LTF มีนโยบายการลงทุน อย่างไร,1
การซื้อแล้วถือยาว (Buy and Hold Strategy) มีวิธีการอย่างไร,1
ความเสี่ยงจากการลงทุนต่อ (Reinvestment risk) มีกี่ระดับ,1
บริหารแบบเชิงรุก มีวิธีการลงทุนอย่างไร,1
ตราสารหนี้แบ่งตามสิทธิแฝง มีอะไรบ้าง,1
Mid-cap Stock (หุ้นกลาง) คืออะไร,1
กองทุนรวมตราสารทุน (Equity Fund) คืออะไร,1
16.30 – 16.40 น. มีรายละเอียดอย่างไร,1
ผู้ที่ออกตั๋วแลกเงินและ หุ้นกู้ คือผู้ใด,1
Floor คืออะไร,1
CB คืออะไร,1
กลยุทธ์การจัดสรรสินทรัพย์ลงทุน (Asset Allocation) คืออะไร,1
กองทุนที่ได้สิทธิประโยชน์ทางภาษีในปัจจุบันมีกองทุนอะไรบ้าง,1
NP คืออะไร,1
ประโยชน์ของกองทุนรวมต่อด้านระบบเศรษฐกิจ คืออะไร,1
วิธีคิดลดกระแสเงินสดอิสระของกิจการ (Discounted Free Cash Flow to Firm) คืออะไร,1
เพราะเหตุใดผู้ลงทุนจึงไม่ควรซื้อ LTF และ RMF เกินสิทธิที่ได้รับการลดหย่อนภาษี,1
ตราสารหนี้ระยะยาว คืออะไร,1
กองทุนรวมที่มีความเสี่ยงต่างประเทศ คืออะไร,1
ความเสี่ยงของกองทุนอสังหาฯ มีอะไรบ้าง,1
Warrant ความหมายในไทยคืออะไร,1
การพยายามขายให้ดีที่สุด คืออะไร,1
ผู้เกี่ยวข้องกับตราสารหนี้ไทย มีกี่กลุ่ม,1
สิทธิ์ของผู้ถือหุ้นสามัญ มีอะไรบ้าง,1
หุ้นกู้แปลงสภาพ (Convertible Bond) คืออะไร,1
หน้าที่ของผู้รับฝากทรัพย์สิน คืออะไร,1
อายุของตราสาร ของ DW คือเท่าไหร่,1
ความเสี่ยงที่จะกระทบต่อความต้องการลงทุนในตราสารทุนมีอะไรบ้าง,1
บริหารแบบเชิงรับมีความเชื่ออย่างไร,1
อัตราส่วนที่ใช้วิเคราะห์ Warrant (ไทย) มีอะไรบ้าง,1
ลักษณะของสิทธิแฝง (Embedded Option) คืออะไร,1
ระดับความเสี่ยงของกองทุนรวมตามประเภทสินทรัพย์ มีอะไรบ้าง,1
XE คืออะไร,1
กองทุนรวมดัชนีกองทุนรวมดัชนี (Index Fund) คืออะไร,1
ที่มาและวัตถุประสงค์ของ RMF คืออะไร,1
เพราะเหตุใดผู้ลงทุนจึงควรทำ Portfolio Rebalancing,1
ในตลาด TBX ปรับช่วงราคาอย่างไร,1
XM คือออะไร,1
ตราสารหนี้แบ่งตามวิธีคืนเงินต้น มีอะไรบ้าง,1
กระทรวงพาณิชย์ ให้ข้อมูลอะไรบ้าง,1
XW คืออะไร,1
สูตรการคำนวณ NAV คืออะไร,1
ILB คืออะไร,1
การซื้อหุ้นด้วยจำนวนเงินเท่าๆ กันตามกำหนดเวลาโดยไม่สนใจว่าราคาจะเป็นเท่าไร เป็นกลยุทธ์การลงทุนแบบใด,1
ตราสารหนี้ที่จ่ายดอกเบี้ยคงที่ คืออะไร,1
Mega-cap Stock คืออะไร,1
ตราสารหนี้แบ่งตามอายุของตราสาร มีอะไรบ้าง,1
การลงทุนที่ลงทุนในหุ้นที่มีราคาต่ำกว่ามูลค่าที่แท้จริง เป็นกลยุทธ์การลงทุนแบบใด,1
ราคาต้นทุน คืออะไร,1
LTF มีการจ่ายปันผลอย่างไร,1
Cash Flow Based Approach (Income Based Approach) คืออะไร,1
ประโยชน์ของ NVDR คืออะไร,1
ที่มาและวัตถุประสงค์ ของ LTF คืออะไร,1
Defensive Stock หุ้นตั้งรับ มีลักษณะอย่างไร,1
ประเมินมูลค่าหุ้น คืออะไร,1
ผู้ลงทุนสถาบัน ตามประกาศของ ก.ล.ต. มีอะไรบ้าง,1
อัตราผลตอบแทนถึงวันไถ่ถอนก่อนกำหนดจากผู้ออก คืออะไร,1
สูตรการคำนวณ NAV per unit คืออะไร,1
บริหารแบบเชิงรุกมีเป้าหมายการลงทุนคืออะไร,1
หน้าที่ของกระทรวงการคลัง คืออะไร,1
บริหารแบบเชิงรับ มีวิธีการลงทุนอย่างไร,1
สมาคมตราสารหนี้ไทย มีหน้าที่อะไร,1
Liquidation Value (มูลค่าที่ขายทอดตลาดได้) คืออะไร,1
แหล่งที่มาของเงินทุนในการทำธุรกิจโดยทั่วไปมาจากแหล่งใด,1
การประเมินมูลค่า มีกี่ขั้นตอน,1
อัตราคิดลดคืออะไร,1
การลงทุนแบบสวนตลาด (Contrarian Investing Strategy) มีวิธีการลงทุนอย่างไร,1
สาเหตุของการระดมทุนด้วยตราสารหนี้ของภาครัฐและรัฐวิสาหกิจ คืออะไร,1
XB คืออะไร,1
ราคาหุ้นสามัญลดลงรุนแรงเนื่องจากบริษัทมีความเสี่ยงที่จะล้มละลาย ส่งผลอย่างไรกับหุ้นกู้แปลงสภาพ,1
RMF มีการจ่ายปันผลอย่างไร,1
วิธีคิดลดเงินปันผล (Dividend Discount Model :DDM) คืออะไร,1
การกำหนดสัดส่วนสินทรัพย์เชิงกลยุทธ์ (Strategic Asset Allocation: SAA) คืออะไร,1
กองทุนรวมที่มีความเสี่ยงทั้งในและต่างประเทศ คืออะไร,1
XR คืออะไร,1
หน้าที่ของสถาบันจัดอันดับความน่าเชื่อถือ คืออะไร,1
